Timestamp,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,PM.Engagement.IsActive,PM.Engagement.Scaled,PM.Engagement.Raw,PM.Engagement.Min,PM.Engagement.Max,PM.Excitement.IsActive,PM.Excitement.Scaled,PM.Excitement.Raw,PM.Excitement.Min,PM.Excitement.Max,PM.LongTermExcitement,PM.Stress.IsActive,PM.Stress.Scaled,PM.Stress.Raw,PM.Stress.Min,PM.Stress.Max,PM.Relaxation.IsActive,PM.Relaxation.Scaled,PM.Relaxation.Raw,PM.Relaxation.Min,PM.Relaxation.Max,PM.Interest.IsActive,PM.Interest.Scaled,PM.Interest.Raw,PM.Interest.Min,PM.Interest.Max,PM.Focus.IsActive,PM.Focus.Scaled,PM.Focus.Raw,PM.Focus.Min,PM.Focus.Max,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma,X,Y
1683182010,6,0,0.474591,0.362427,-0.630798,0.495483,0.945428,-0.272494,-0.062996,-32.765514,-7.808718,75.80648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719.5632062,593.9789502
1683182010,7,0,0.474637,0.362366,-0.630798,0.495483,0.945428,-0.272494,-0.062996,-32.796734,-7.866728,75.75325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719.5632062,593.9789502
1683182010,8,0,0.474713,0.362244,-0.630859,0.495422,0.928336,-0.280308,-0.066414,-32.795353,-7.893717,75.825127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94861,0.366489,0.339622,0.130435,0.116416,0.857174,0.470699,0.404715,0.209114,0.095877,0.892009,0.421688,0.280088,0.144088,0.145364,0.410507,0.298201,0.212929,0.10923,0.115034,0.373336,0.256407,0.051832,0.113781,0.056609,0.629471,0.425961,0.170513,0.07601,0.056493,0.337782,0.316316,0.072533,0.111339,0.040708,1.338237,0.481554,0.200338,0.106536,0.083717,1.432795,0.981718,0.231459,0.151769,0.125221,2.036428,0.672274,0.339443,0.133411,0.146164,1.924986,0.691677,0.444581,0.18011,0.215268,1.807896,0.791636,0.672136,0.181849,0.184958,2.381334,0.528619,0.325882,0.216321,0.228187,1.54241,0.464972,0.430984,0.155902,0.156362,719.5632062,593.9789502
1683182010,9,0,0.474806,0.362183,-0.63092,0.4953,0.941033,-0.274448,-0.058113,-32.795902,-7.955577,75.690025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739.1132032,591.5802782
1683182010,10,0,0.474905,0.362183,-0.630798,0.495361,0.949335,-0.282261,-0.054206,-32.563015,-7.805684,75.430588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739.1132032,591.5802782
1683182010,11,0,0.475113,0.362061,-0.630615,0.495483,0.949335,-0.282261,-0.054206,-32.359375,-7.549271,75.355438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755.3172384,581.9031978
1683182010,12,0,0.475015,0.362,-0.630676,0.495544,0.933708,-0.283726,-0.061043,-32.27776,-7.391576,75.461243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.940291,0.311067,0.428793,0.148705,0.099103,0.887456,0.568478,0.61983,0.260497,0.112297,0.958233,0.375657,0.33124,0.149852,0.124046,0.410393,0.326711,0.281883,0.125417,0.109513,0.388931,0.288829,0.063796,0.1009,0.054308,0.609832,0.467635,0.17508,0.101928,0.053211,0.318257,0.33669,0.065407,0.130893,0.045676,1.326844,0.467761,0.174619,0.13955,0.07849,1.339113,0.98052,0.197936,0.166351,0.122452,1.959926,0.667692,0.28963,0.143857,0.147417,1.976908,0.721802,0.444844,0.192238,0.173246,1.883692,0.68385,0.727801,0.189489,0.167038,2.81701,0.598301,0.300884,0.20976,0.181124,1.455291,0.401629,0.447797,0.153777,0.14187,755.3172384,581.9031978
1683182010,13,0,0.475074,0.361877,-0.630798,0.495422,0.933708,-0.283726,-0.061043,-32.391651,-7.293843,75.516937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755.3172384,581.9031978
1683182010,14,0,0.475056,0.361877,-0.630859,0.495361,0.934684,-0.278843,-0.053717,-32.445572,-7.201346,75.61705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763.0950244,583.6621357
1683182010,15,0,0.474963,0.361938,-0.630798,0.495483,0.934684,-0.278843,-0.053717,-32.549248,-7.081424,75.698143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763.0950244,583.6621357
1683182010,16,0,0.474871,0.362,-0.630737,0.495605,0.941033,-0.278354,-0.050787,-32.649891,-7.050953,75.663834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.053455,0.271296,0.510666,0.174458,0.086451,0.991706,0.735077,0.896576,0.326893,0.138996,1.151977,0.320423,0.371771,0.154801,0.110738,0.442432,0.36319,0.381302,0.150546,0.110081,0.368402,0.315646,0.08318,0.090549,0.053821,0.542239,0.456142,0.178631,0.145921,0.05131,0.318399,0.343066,0.070907,0.162417,0.05086,1.459067,0.43182,0.162001,0.175637,0.073277,1.33408,0.883159,0.193455,0.187021,0.118957,1.885556,0.619839,0.270562,0.154588,0.148385,2.192137,0.702727,0.438202,0.208158,0.138698,2.338738,0.551864,0.754519,0.206042,0.158074,3.344959,0.683332,0.289944,0.219274,0.14161,1.561012,0.339379,0.453362,0.16249,0.131158,791.2147455,564.9797008
1683182010,17,0,0.474777,0.362122,-0.630737,0.495605,0.941033,-0.278354,-0.050787,-32.701412,-7.101272,75.486038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791.2147455,564.9797008
